job_title,company_name,experience_level,type_of_contract,easy_apply,time_posted,num_applicants,job_link
CAS | Engenharia de Dados SR,Sicredi,Mid-Senior level,Full-time,False,3 days ago,38 applicants,https://www.linkedin.com/jobs/view/4334089683/
Engenheiro(a) de Dados Pleno,Semantix AI,Mid-Senior level,Full-time,False,2 weeks ago,80 applicants,https://www.linkedin.com/jobs/view/4318640470/
Engenheiro de Dados Power Platform Sênior,Semantix AI,Mid-Senior level,Full-time,False,4 weeks ago,29 applicants,https://www.linkedin.com/jobs/view/4312611231/
Engenheiro(a) de Dados Sênior - Dif SalesForce,Semantix AI,Mid-Senior level,Full-time,False,,,https://www.linkedin.com/jobs/view/4321602728/
Data Test Engineer (IDMC) Sênior,Assurance IT,Mid-Senior level,Full-time,True,2 days ago,,https://www.linkedin.com/jobs/view/4320927649/
Instrutor de Python para Dados - Engenharia de Dados e Big Data - Introdução ao Machine Learning com Python,Trainning Education,Mid-Senior level,Full-time,False,2 months ago,,https://www.linkedin.com/jobs/view/4292364265/
Data Engineer | Engenheiro de Dados - Brasil,Mondelēz International,Not Applicable,Full-time,False,1 day ago,,https://www.linkedin.com/jobs/view/4284466607/
Engenheiro de dados,Minsait,Mid-Senior level,Full-time,True,1 day ago,50 applicants,https://www.linkedin.com/jobs/view/4337848711/
Engenheiro(a) de Dados Pleno,Conta Simples,Not Applicable,Full-time,False,4 days ago,122 applicants,https://www.linkedin.com/jobs/view/4320680077/
Engenheiro(a) Dados Pleno | Recife/PE,Deloitte,Entry level,Full-time,False,4 days ago,48 applicants,https://www.linkedin.com/jobs/view/4290997408/
Arquiteto de Soluções Sr (Dados),Grupo Criatto Rh,Mid-Senior level,Full-time,False,3 days ago,,https://www.linkedin.com/jobs/view/4320715829/
Consultor(a) Engenheiro(a) de Dados,Houer,Entry level,Contract,False,1 month ago,,https://www.linkedin.com/jobs/view/4304477679/
Engenheiro de Dados Sênior - Diferencial Salesforce,Semantix AI,Mid-Senior level,Full-time,False,1 month ago,70 applicants,https://www.linkedin.com/jobs/view/4303819676/
Engenheiro de Plataforma de Dados Pleno (Remoto)  Vertical : Data & AI,Luizalabs,Entry level,Full-time,False,3 weeks ago,,https://www.linkedin.com/jobs/view/4315786179/
Arquiteto de Dados Pré Vendas Sr,Qi Network - Google Cloud Premier Partner,Mid-Senior level,Full-time,False,1 month ago,,https://www.linkedin.com/jobs/view/4298431433/
